car_name,brand,year,mileage_km,location,transmission,fuel_type,engine_size_cc,condition,service_history,accident_history,color,owner_count,price_rp,instalment_rp_monthly
Toyota Fortuner,Toyota,2012,148458,Jakarta Utara,Automatic,Petrol,1300,Good,Full Service Record,Never,Silver,2,97986093,2008714
Nissan March,Nissan,2016,137952,Jakarta Barat,Automatic,Petrol,1200,Fair,Unknown,Never,Black,2,96787144,1984136
Toyota Avanza,Toyota,2021,65093,Tangerang,Manual,Petrol,2400,Excellent,Full Service Record,Never,Black,1,214553960,4398356
Mazda CX-5,Mazda,2024,4000,Medan,Automatic,Petrol,1800,Excellent,Partial Service Record,Never,Red,3,328610424,6736513
Mazda Mazda3,Mazda,2021,49585,Surabaya,Automatic,Petrol,1800,Good,Partial Service Record,Never,Gray,2,267712891,5488114
Nissan March,Nissan,2017,137725,Bogor,Automatic,Petrol,2000,Excellent,Full Service Record,Never,Blue,2,160175801,3283603
Hyundai Ioniq,Hyundai,2019,40319,Depok,Automatic,Electric,1000,Fair,Partial Service Record,Never,Gray,3,255985910,5247711
Hyundai Stargazer,Hyundai,2011,172279,Medan,Manual,Petrol,1500,Excellent,Partial Service Record,Unknown,Blue,2,141970220,2910389
Honda HR-V,Honda,2016,142786,Bandung,Automatic,Hybrid,1000,Fair,Full Service Record,Never,Blue,2,157159255,3221764
Mazda CX-5,Mazda,2023,20398,Jakarta Utara,Automatic,Petrol,1500,Excellent,Full Service Record,Unknown,Black,2,311450243,6384729
Nissan March,Nissan,2014,131780,Surabaya,Automatic,Petrol,2400,Good,Full Service Record,Unknown,Silver,1,100050649,2051038
Daihatsu Terios,Daihatsu,2019,82295,Semarang,Manual,Petrol,1200,Good,Full Service Record,Never,Gray,2,83917917,1720317
Mazda Mazda2,Mazda,2017,134845,Bogor,Automatic,Petrol,1000,Good,Partial Service Record,Never,Red,2,233637586,4789570
Nissan X-Trail,Nissan,2015,120499,Bogor,Automatic,Petrol,1200,Fair,Full Service Record,Never,White,1,78808025,1615564
Mitsubishi Outlander,Mitsubishi,2014,136008,Depok,Manual,Petrol,1300,Excellent,Unknown,Minor Accident,Red,1,185620158,3805213
Hyundai Creta,Hyundai,2015,124181,Medan,Automatic,Electric,2400,Excellent,Unknown,Unknown,Red,3,266667553,5466684
Mazda Mazda2,Mazda,2022,87706,Surabaya,Automatic,Petrol,2000,Excellent,Unknown,Unknown,Silver,1,303911357,6230182
Suzuki XL7,Suzuki,2017,147362,Jakarta Barat,Automatic,Hybrid,1000,Excellent,Unknown,Unknown,Gray,1,153102569,3138602
Mitsubishi Outlander,Mitsubishi,2024,42072,Depok,Automatic,Diesel,1000,Excellent,Full Service Record,Never,Blue,1,289469037,5934115
Mitsubishi Pajero,Mitsubishi,2020,78951,Semarang,Automatic,Diesel,1200,Good,Full Service Record,Unknown,White,3,247808388,5080071
Mazda Mazda3,Mazda,2013,169272,Depok,Automatic,Petrol,1000,Fair,Unknown,Unknown,White,1,140942146,2889313
Mitsubishi Outlander,Mitsubishi,2020,98833,Bekasi,Automatic,Diesel,1000,Good,Unknown,Unknown,Silver,1,233650109,4789827
Toyota Yaris,Toyota,2011,163154,Bogor,Automatic,Petrol,1200,Excellent,Partial Service Record,Unknown,White,1,136641400,2801148
Mitsubishi Outlander,Mitsubishi,2012,189164,Jakarta Barat,Manual,Diesel,1800,Good,Unknown,Never,Gray,1,158375242,3246692
Toyota Yaris,Toyota,2017,85430,Jakarta Barat,Automatic,Hybrid,1500,Excellent,Full Service Record,Never,White,1,231376141,4743210
Hyundai Creta,Hyundai,2011,168520,Bandung,Automatic,Petrol,1300,Excellent,Partial Service Record,Unknown,Gray,3,127585191,2615496
Honda CR-V,Honda,2021,76327,Bekasi,Automatic,Petrol,1300,Good,Partial Service Record,Never,Gray,2,198376504,4066718
Hyundai Ioniq,Hyundai,2014,118283,Tangerang,Automatic,Petrol,1500,Excellent,Partial Service Record,Never,Black,1,169897312,3482894
Toyota Rush,Toyota,2019,81478,Makassar,Automatic,Petrol,1300,Excellent,Partial Service Record,Unknown,Black,1,186821844,3829847
Honda City,Honda,2014,128488,Jakarta Utara,Automatic,Hybrid,1200,Excellent,Unknown,Never,Black,1,179871634,3687368
Suzuki Baleno,Suzuki,2017,103398,Pekanbaru,Automatic,Hybrid,2000,Excellent,Full Service Record,Never,Blue,1,189199167,3878582
Suzuki XL7,Suzuki,2014,93625,Tangerang,Automatic,Petrol,1300,Excellent,Full Service Record,Never,White,1,79324000,1626142
Honda Brio,Honda,2025,4000,Bandung,Manual,Petrol,1200,Good,Unknown,Unknown,Blue,1,215371158,4415108
Hyundai Ioniq,Hyundai,2016,107402,Pekanbaru,Automatic,Electric,1200,Fair,Full Service Record,Never,Black,2,204550586,4193287
Toyota Calya,Toyota,2015,148694,Semarang,Manual,Petrol,2000,Good,Full Service Record,Never,Blue,1,146164339,2996368
Honda Jazz,Honda,2014,140874,Pekanbaru,Automatic,Hybrid,1500,Excellent,Unknown,Never,Black,3,172750903,3541393
Daihatsu Xenia,Daihatsu,2016,120051,Bekasi,Manual,Petrol,1200,Excellent,Full Service Record,Never,Silver,3,80984409,1660180
Honda HR-V,Honda,2015,144388,Bandung,Automatic,Petrol,1800,Good,Unknown,Never,Blue,1,126057242,2584173
Mazda CX-5,Mazda,2011,164168,Padang,Manual,Petrol,1000,Fair,Full Service Record,Unknown,Silver,1,104187448,2135842
Daihatsu Sigra,Daihatsu,2011,185105,Padang,Automatic,Petrol,1200,Good,Unknown,Never,Silver,1,70000000,1435000
Mitsubishi Xpander,Mitsubishi,2024,9503,Pekanbaru,Manual,Diesel,2400,Excellent,Partial Service Record,Never,Silver,1,305283017,6258301
Nissan X-Trail,Nissan,2021,28901,Tangerang,Manual,Petrol,1300,Good,Full Service Record,Unknown,White,1,151073499,3097006
Suzuki Ertiga,Suzuki,2018,88963,Jakarta Barat,Automatic,Hybrid,1200,Good,Full Service Record,Never,Silver,2,151778825,3111465
Mazda CX-5,Mazda,2019,94328,Pekanbaru,Automatic,Petrol,2000,Excellent,Unknown,Never,Blue,1,283800900,5817918
Mazda Mazda3,Mazda,2017,114094,Jakarta Utara,Automatic,Petrol,1200,Fair,Full Service Record,Never,White,2,205378355,4210256
Mitsubishi Pajero,Mitsubishi,2019,83787,Medan,Automatic,Diesel,1300,Excellent,Partial Service Record,Never,Red,1,236278081,4843700
Daihatsu Ayla,Daihatsu,2018,139062,Pekanbaru,Automatic,Petrol,1200,Excellent,Partial Service Record,Never,Blue,1,101485741,2080457
Nissan X-Trail,Nissan,2013,163432,Bogor,Manual,Petrol,1000,Good,Full Service Record,Never,Black,1,70000000,1435000
Hyundai Creta,Hyundai,2019,101617,Semarang,Automatic,Electric,1000,Fair,Unknown,Minor Accident,Gray,2,244221784,5006546
Hyundai Ioniq,Hyundai,2015,172286,Jakarta Selatan,Automatic,Petrol,1500,Excellent,Unknown,Never,Blue,2,168351220,3451200
Daihatsu Xenia,Daihatsu,2023,12706,Tangerang,Automatic,Petrol,2000,Good,Partial Service Record,Never,Blue,1,157490199,3228549
Toyota Rush,Toyota,2013,137301,Semarang,Manual,Hybrid,2000,Good,Full Service Record,Unknown,Gray,1,161755208,3315981
Hyundai Stargazer,Hyundai,2022,79386,Tangerang,Manual,Electric,1300,Good,Partial Service Record,Never,Silver,1,278522515,5709711
Mazda Mazda3,Mazda,2023,21634,Semarang,Automatic,Petrol,2000,Good,Full Service Record,Never,Blue,1,296393721,6076071
Toyota Fortuner,Toyota,2021,60534,Jakarta Selatan,Automatic,Diesel,1300,Good,Full Service Record,Minor Accident,Black,2,220018253,4510374
Mazda Mazda3,Mazda,2017,127247,Jakarta Barat,Automatic,Petrol,1500,Good,Full Service Record,Never,Blue,1,237345889,4865590
Nissan March,Nissan,2017,124032,Depok,Manual,Petrol,1300,Good,Full Service Record,Unknown,Gray,1,106909641,2191647
Hyundai Stargazer,Hyundai,2022,79587,Jakarta Barat,Manual,Petrol,1000,Fair,Full Service Record,Minor Accident,Blue,3,187441476,3842550
Nissan March,Nissan,2013,182921,Medan,Manual,Petrol,1500,Good,Full Service Record,Never,Blue,1,95310510,1953865
Mazda Mazda2,Mazda,2014,163249,Pekanbaru,Automatic,Petrol,2400,Good,Full Service Record,Never,Gray,2,219687566,4503595
Daihatsu Xenia,Daihatsu,2018,82091,Padang,Automatic,Petrol,1300,Good,Unknown,Never,Silver,1,103924462,2130451
Mazda CX-5,Mazda,2025,26307,Pekanbaru,Automatic,Petrol,2400,Excellent,Partial Service Record,Never,Black,2,336519420,6898648
Mazda Mazda3,Mazda,2020,77656,Tangerang,Manual,Petrol,1200,Excellent,Unknown,Never,Blue,1,268939565,5513261
Honda CR-V,Honda,2018,72127,Depok,Automatic,Petrol,1200,Excellent,Full Service Record,Unknown,Silver,2,174438906,3575997
Mitsubishi Outlander,Mitsubishi,2014,169511,Jakarta Utara,Automatic,Diesel,1200,Excellent,Partial Service Record,Never,White,2,173092455,3548395
Daihatsu Terios,Daihatsu,2020,86530,Tangerang,Automatic,Petrol,1200,Excellent,Full Service Record,Never,Gray,1,113264010,2321912
Toyota Yaris,Toyota,2021,60818,Jakarta Selatan,Manual,Diesel,1000,Fair,Full Service Record,Never,White,1,178271930,3654574
Mazda Mazda2,Mazda,2017,103804,Medan,Automatic,Petrol,1800,Fair,Full Service Record,Minor Accident,Gray,1,233858620,4794101
Suzuki XL7,Suzuki,2019,62430,Bogor,Manual,Petrol,1500,Excellent,Partial Service Record,Never,Blue,2,121861302,2498156
Suzuki Baleno,Suzuki,2025,15591,Jakarta Selatan,Automatic,Petrol,2400,Good,Full Service Record,Never,White,1,190026160,3895536
Honda Mobilio,Honda,2019,92431,Jakarta Selatan,Manual,Petrol,1500,Excellent,Full Service Record,Never,Black,1,176532968,3618925
Daihatsu Terios,Daihatsu,2016,105039,Surabaya,Manual,Petrol,2400,Good,Partial Service Record,Unknown,Silver,1,70000000,1435000
Mitsubishi Pajero,Mitsubishi,2020,92919,Semarang,Automatic,Petrol,1000,Good,Unknown,Never,White,1,212452269,4355271
Nissan X-Trail,Nissan,2022,28250,Tangerang,Automatic,Petrol,1200,Good,Full Service Record,Never,Red,1,172906847,3544590
Hyundai Ioniq,Hyundai,2021,21784,Surabaya,Manual,Electric,1200,Excellent,Full Service Record,Never,Gray,2,286056915,5864166
Toyota Calya,Toyota,2018,114715,Jakarta Utara,Automatic,Petrol,2000,Excellent,Partial Service Record,Never,White,1,192736311,3951094
Suzuki XL7,Suzuki,2013,148739,Jakarta Barat,Automatic,Hybrid,2400,Good,Partial Service Record,Never,Blue,1,110742924,2270229
Suzuki Baleno,Suzuki,2021,57731,Jakarta Selatan,Manual,Hybrid,1000,Excellent,Unknown,Never,Blue,1,163923270,3360427
Suzuki XL7,Suzuki,2018,80924,Bogor,Automatic,Petrol,1200,Good,Unknown,Minor Accident,Silver,1,100330116,2056767
Toyota Calya,Toyota,2012,139092,Semarang,Manual,Hybrid,1800,Good,Full Service Record,Unknown,Silver,2,145587292,2984539
Suzuki XL7,Suzuki,2024,46594,Jakarta Utara,Manual,Petrol,2000,Good,Unknown,Never,Red,1,162901352,3339477
