car_name,brand,year,mileage_km,location,transmission,fuel_type,engine_size_cc,condition,service_history,accident_history,color,owner_count,price_rp,instalment_rp_monthly
Toyota Fortuner,Toyota,2012,148458,Jakarta Utara,Automatic,Petrol,1300,Good,Full Service Record,Never,Silver,2,98000000,2009000
Nissan March,Nissan,2016,137952,Jakarta Barat,Automatic,Petrol,1200,Fair,Unknown,Never,Black,2,97000000,1988500
Toyota Avanza,Toyota,2021,65093,Tangerang,Manual,Petrol,2400,Excellent,Full Service Record,Never,Black,1,215000000,4407500
Mazda CX-5,Mazda,2024,4000,Medan,Automatic,Petrol,1800,Excellent,Partial Service Record,Never,Red,3,330000000,6765000
Mazda Mazda3,Mazda,2021,49585,Surabaya,Automatic,Petrol,1800,Good,Partial Service Record,Never,Gray,2,268000000,5494000
Nissan March,Nissan,2017,137725,Bogor,Automatic,Petrol,2000,Excellent,Full Service Record,Never,Blue,2,160000000,3280000
Hyundai Ioniq,Hyundai,2019,40319,Depok,Automatic,Electric,1000,Fair,Partial Service Record,Never,Gray,3,255000000,5227500
Hyundai Stargazer,Hyundai,2011,172279,Medan,Manual,Petrol,1500,Excellent,Partial Service Record,Unknown,Blue,2,142000000,2911000
Honda HR-V,Honda,2016,142786,Bandung,Automatic,Hybrid,1000,Fair,Full Service Record,Never,Blue,2,158000000,3239000
Mazda CX-5,Mazda,2023,20398,Jakarta Utara,Automatic,Petrol,1500,Excellent,Full Service Record,Unknown,Black,2,310000000,6355000
Nissan March,Nissan,2014,131780,Surabaya,Automatic,Petrol,2400,Good,Full Service Record,Unknown,Silver,1,100000000,2050000
Daihatsu Terios,Daihatsu,2019,82295,Semarang,Manual,Petrol,1200,Good,Full Service Record,Never,Gray,2,84000000,1722000
Mazda Mazda2,Mazda,2017,134845,Bogor,Automatic,Petrol,1000,Good,Partial Service Record,Never,Red,2,232000000,4756000
Nissan X-Trail,Nissan,2015,120499,Bogor,Automatic,Petrol,1200,Fair,Full Service Record,Never,White,1,79000000,1619500
Mitsubishi Outlander,Mitsubishi,2014,136008,Depok,Manual,Petrol,1300,Excellent,Unknown,Minor Accident,Red,1,185000000,3792500
Hyundai Creta,Hyundai,2015,124181,Medan,Automatic,Electric,2400,Excellent,Unknown,Unknown,Red,3,268000000,5494000
Mazda Mazda2,Mazda,2022,87706,Surabaya,Automatic,Petrol,2000,Excellent,Unknown,Unknown,Silver,1,305000000,6252500
Suzuki XL7,Suzuki,2017,147362,Jakarta Barat,Automatic,Hybrid,1000,Excellent,Unknown,Unknown,Gray,1,152000000,3116000
Mitsubishi Outlander,Mitsubishi,2024,42072,Depok,Automatic,Diesel,1000,Excellent,Full Service Record,Never,Blue,1,290000000,5945000
Mitsubishi Pajero,Mitsubishi,2020,78951,Semarang,Automatic,Diesel,1200,Good,Full Service Record,Unknown,White,3,248000000,5084000
Mazda Mazda3,Mazda,2013,169272,Depok,Automatic,Petrol,1000,Fair,Unknown,Unknown,White,1,141000000,2890500
Mitsubishi Outlander,Mitsubishi,2020,98833,Bekasi,Automatic,Diesel,1000,Good,Unknown,Unknown,Silver,1,232000000,4756000
Toyota Yaris,Toyota,2011,163154,Bogor,Automatic,Petrol,1200,Excellent,Partial Service Record,Unknown,White,1,137000000,2808500
Mitsubishi Outlander,Mitsubishi,2012,189164,Jakarta Barat,Manual,Diesel,1800,Good,Unknown,Never,Gray,1,158000000,3239000
Toyota Yaris,Toyota,2017,85430,Jakarta Barat,Automatic,Hybrid,1500,Excellent,Full Service Record,Never,White,1,232000000,4756000
Hyundai Creta,Hyundai,2011,168520,Bandung,Automatic,Petrol,1300,Excellent,Partial Service Record,Unknown,Gray,3,128000000,2624000
Honda CR-V,Honda,2021,76327,Bekasi,Automatic,Petrol,1300,Good,Partial Service Record,Never,Gray,2,198000000,4059000
Hyundai Ioniq,Hyundai,2014,118283,Tangerang,Automatic,Petrol,1500,Excellent,Partial Service Record,Never,Black,1,170000000,3485000
Toyota Rush,Toyota,2019,81478,Makassar,Automatic,Petrol,1300,Excellent,Partial Service Record,Unknown,Black,1,188000000,3854000
Honda City,Honda,2014,128488,Jakarta Utara,Automatic,Hybrid,1200,Excellent,Unknown,Never,Black,1,180000000,3690000
Suzuki Baleno,Suzuki,2017,103398,Pekanbaru,Automatic,Hybrid,2000,Excellent,Full Service Record,Never,Blue,1,190000000,3895000
Suzuki XL7,Suzuki,2014,93625,Tangerang,Automatic,Petrol,1300,Excellent,Full Service Record,Never,White,1,79000000,1619500
Honda Brio,Honda,2025,4000,Bandung,Manual,Petrol,1200,Good,Unknown,Unknown,Blue,1,215000000,4407500
Hyundai Ioniq,Hyundai,2016,107402,Pekanbaru,Automatic,Electric,1200,Fair,Full Service Record,Never,Black,2,205000000,4202500
Toyota Calya,Toyota,2015,148694,Semarang,Manual,Petrol,2000,Good,Full Service Record,Never,Blue,1,146000000,2993000
Honda Jazz,Honda,2014,140874,Pekanbaru,Automatic,Hybrid,1500,Excellent,Unknown,Never,Black,3,172000000,3526000
Daihatsu Xenia,Daihatsu,2016,120051,Bekasi,Manual,Petrol,1200,Excellent,Full Service Record,Never,Silver,3,81000000,1660500
Honda HR-V,Honda,2015,144388,Bandung,Automatic,Petrol,1800,Good,Unknown,Never,Blue,1,126000000,2583000
Mazda CX-5,Mazda,2011,164168,Padang,Manual,Petrol,1000,Fair,Full Service Record,Unknown,Silver,1,104000000,2132000
Daihatsu Sigra,Daihatsu,2011,185105,Padang,Automatic,Petrol,1200,Good,Unknown,Never,Silver,1,70000000,1435000
Mitsubishi Xpander,Mitsubishi,2024,9503,Pekanbaru,Manual,Diesel,2400,Excellent,Partial Service Record,Never,Silver,1,305000000,6252500
Nissan X-Trail,Nissan,2021,28901,Tangerang,Manual,Petrol,1300,Good,Full Service Record,Unknown,White,1,150000000,3075000
Suzuki Ertiga,Suzuki,2018,88963,Jakarta Barat,Automatic,Hybrid,1200,Good,Full Service Record,Never,Silver,2,152000000,3116000
Mazda CX-5,Mazda,2019,94328,Pekanbaru,Automatic,Petrol,2000,Excellent,Unknown,Never,Blue,1,285000000,5842500
Mazda Mazda3,Mazda,2017,114094,Jakarta Utara,Automatic,Petrol,1200,Fair,Full Service Record,Never,White,2,205000000,4202500
Mitsubishi Pajero,Mitsubishi,2019,83787,Medan,Automatic,Diesel,1300,Excellent,Partial Service Record,Never,Red,1,238000000,4879000
Daihatsu Ayla,Daihatsu,2018,139062,Pekanbaru,Automatic,Petrol,1200,Excellent,Partial Service Record,Never,Blue,1,101000000,2070500
