feature,importance
numeric__mileage_km,0.229259783277809
categorical__brand_Daihatsu,0.21322202773877352
numeric__year,0.1572472552486821
categorical__brand_Suzuki,0.09937233452959827
categorical__brand_Nissan,0.08435724095439258
categorical__brand_Mazda,0.06247449087274609
categorical__fuel_type_Electric,0.03875842243787424
categorical__fuel_type_Petrol,0.021555687513596978
numeric__engine_size_cc,0.01418571978038984
categorical__brand_Mitsubishi,0.010864223018626261
categorical__condition_Fair,0.008517821612993031
categorical__condition_Excellent,0.00782292895268295
categorical__brand_Hyundai,0.006265606428456312
categorical__fuel_type_Hybrid,0.0058043293728855675
categorical__brand_Honda,0.005711454912000267
numeric__owner_count,0.002513194633506138
categorical__brand_Toyota,0.0019071339487856719
categorical__transmission_Manual,0.0015638049211412679
categorical__transmission_Automatic,0.0014815398244394568
categorical__color_Silver,0.0013489229547401786
categorical__color_Gray,0.001232067819230487
categorical__color_Black,0.0011996782347793234
categorical__color_Blue,0.0011305201627365043
categorical__color_Red,0.001128763240455753
categorical__color_White,0.0011100400690952188
categorical__condition_Good,0.0011002653313877259
categorical__location_Pekanbaru,0.0010697915532099926
categorical__location_Depok,0.0010207507379512422
categorical__location_Jakarta Utara,0.0010152536006287278
categorical__location_Tangerang,0.0009290509637592212
categorical__location_Surabaya,0.0008778791013725945
categorical__location_Bogor,0.0007977016777387247
categorical__location_Makassar,0.0007850102736146924
categorical__location_Bandung,0.0007360876066868399
categorical__location_Jakarta Selatan,0.0007124143730027417
categorical__location_Bekasi,0.0006715788322521793
categorical__location_Padang,0.0006103078461553581
categorical__location_Semarang,0.000604880078583915
categorical__location_Medan,0.0006015006960424988
categorical__car_name_Mitsubishi Xpander,0.0005992334582023151
categorical__car_name_Honda CR-V,0.000590039436136489
categorical__location_Jakarta Barat,0.0005015217141420442
categorical__fuel_type_Diesel,0.0005003868799684952
categorical__car_name_Toyota Fortuner,0.0003624635446577745
categorical__car_name_Honda Mobilio,0.00035394035430281925
categorical__car_name_Hyundai Creta,0.00032492380518987535
categorical__car_name_Mitsubishi Outlander,0.0003194080021156451
categorical__car_name_Toyota Agya,0.0003143602216320893
categorical__car_name_Suzuki Karimun,0.0002860662622716132
categorical__car_name_Honda Jazz,0.0002828427412166492
categorical__car_name_Hyundai Ioniq,0.0002650831374148091
categorical__car_name_Mitsubishi Pajero,0.0002575010277936962
categorical__car_name_Suzuki Ertiga,0.00023093145773130018
categorical__car_name_Honda HR-V,0.00023014657859236583
categorical__car_name_Toyota Yaris,0.00022803584947490748
categorical__car_name_Honda Brio,0.00021565429929035535
categorical__car_name_Toyota Calya,0.00019407811249198676
categorical__car_name_Honda City,0.0001904781274356866
categorical__car_name_Toyota Avanza,0.00018805976953337723
categorical__car_name_Mazda Mazda3,0.00018651878926380982
categorical__car_name_Hyundai Stargazer,0.00018039133351119234
categorical__car_name_Mazda CX-5,0.0001769514892173849
categorical__car_name_Toyota Innova,0.00015601670307635986
categorical__car_name_Suzuki Baleno,0.00015011812406614533
categorical__car_name_Nissan March,0.00014771755821837653
categorical__car_name_Suzuki XL7,0.000147169663296943
categorical__car_name_Nissan X-Trail,0.00013168375856509253
categorical__car_name_Nissan Livina,0.0001238140971798175
categorical__car_name_Toyota Rush,0.00011780391725881289
categorical__car_name_Mazda Mazda2,0.00010879757859526464
categorical__car_name_Daihatsu Sigra,0.00010864589387767492
categorical__car_name_Daihatsu Terios,0.00010397698116912199
categorical__car_name_Daihatsu Ayla,8.836940973599002e-05
categorical__car_name_Daihatsu Xenia,6.940479057010874e-05
